[表題行],日付,伝票番号,決算整理仕訳,借方勘定科目,借方科目コード,借方補助科目,借方取引先,借方取引先コード,借方部門,借方品目,借方メモタグ,借方セグメント1,借方セグメント2,借方セグメント3,借方金額,借方税区分,借方税額,貸方勘定科目,貸方科目コード,貸方補助科目,貸方取引先,貸方取引先コード,貸方部門,貸方品目,貸方メモタグ,貸方セグメント1,貸方セグメント2,貸方セグメント3,貸方金額,貸方税区分,貸方税額,摘要
[明細行],2020/01/01,300,,現金,GENKIN,,,,販売部,商品A,,エリアA,プロジェクトA,,1100000,対象外,0,売上高,URIAGE,freee株式会社,,,販売部,商品A,,エリアA,プロジェクトA,,1100000,課税売上10%,100000,決済済み収入取引・単一行
[明細行],2020/01/01,310,,仕入高,SHIIREDA,,つばめ株式会社,つばめ株式会社,仕入部,商品C,,エリアC,プロジェクトC,,550000,課対仕入10%,50000,現金,GENKIN,,,,,,,,,,550000,対象外,0,決済済み支出取引・単一行
[明細行],2020/01/05,320,,売上値引高,URIAGENE,freee株式会社,,,販促部,値引A,"請求書を添付,要確認",エリアB,プロジェクトA,キャンペーンA,110000,課税売返10%,10000,売上高,URIAGE,freee株式会社,,,販売部,商品B,"請求書を添付,要確認",エリアB,プロジェクトA,,1100000,課税売上10%,100000,決済済み収入取引・複数行
[明細行],2020/01/05,320,,freee銀行,FREEE,,,,,,,,,,990000,対象外,0,,,,,,,,,,,,,,,決済済み収入取引・複数行
[明細行],2020/01/05,330,,仕入高,SHIIREDA,,つばめ株式会社,つばめ株式会社,仕入部,商品D,"納品書を添付,要確認",エリアD,プロジェクトC,,550000,課対仕入10%,50000,仕入割戻し高,SHIIREWA,,つばめ株式会社,つばめ株式会社,仕入部,値引C,"納品書を添付,要確認",エリアD,プロジェクトC,キャンペーンC,55000,課対仕返10%,5000,決済済み支出取引・複数行
[明細行],2020/01/05,330,,,,,,,,,,,,,,,,freee銀行,FREEE,,,,,,,,,,495000,対象外,0,決済済み支出取引・複数行
[明細行],2020/01/10,340,,売掛金,URIKAKE,freee株式会社,,,販売部,商品A,,エリアC,プロジェクトB,,1080000,対象外,0,売上高,URIAGE,freee株式会社,,,販売部,商品A,,エリアC,プロジェクトB,,1080000,課税売上8%（軽）,80000,未決済収入取引・単一行
[明細行],2020/01/10,350,,仕入高,SHIIREDA,,つばめ株式会社,つばめ株式会社,仕入部,商品D,,エリアC,プロジェクトD,,540000,課対仕入8%（軽）,40000,買掛金,KAIKAKE,,つばめ株式会社,つばめ株式会社,仕入部,商品D,,エリアC,プロジェクトD,,540000,対象外,0,未決済支出取引・単一行
[明細行],2020/01/15,360,,売上値引高,URIAGENE,freee株式会社,,,販促部,値引B,"請求書を添付,要確認",エリアD,プロジェクトB,キャンペーンB,108000,課税売返8%（軽）,8000,売上高,URIAGE,freee株式会社,,,販売部,商品B,"請求書を添付,要確認",エリアD,プロジェクトB,,1080000,課税売上8%（軽）,80000,未決済収入取引・複数行
[明細行],2020/01/15,360,,売掛金,URIKAKE,freee株式会社,,,販売部,商品B,,エリアD,プロジェクトB,,972000,対象外,0,,,,,,,,,,,,,,,未決済収入取引・複数行
[明細行],2020/01/15,370,,仕入高,SHIIREDA,,つばめ株式会社,つばめ株式会社,仕入部,商品D,"納品書を添付,要確認",エリアD,プロジェクトD,,540000,課対仕入8%（軽）,40000,仕入割戻し高,SHIIREWA,,つばめ株式会社,つばめ株式会社,仕入部,値引D,"納品書を添付,要確認",エリアD,プロジェクトD,キャンペーンD,54000,課対仕返8%（軽）,4000,未決済支出取引・複数行
[明細行],2020/01/15,370,,,,,,,,,,,,,,,,買掛金,KAIKAKE,,つばめ株式会社,つばめ株式会社,仕入部,商品D,,エリアD,プロジェクトD,,486000,対象外,0,未決済支出取引・複数行
[明細行],2020/12/31,380,1,未収収益,MISHUUSH,,,,管理部,,,,,,100000,対象外,0,受取利息,UKETORIR,,,,管理部,,,,,,100000,非課売上,0,決算整理仕訳（収益）
[明細行],2020/12/31,390,1,支払利息,SHIHARAI,,,,管理部,,,,,,50000,対象外,0,未払費用,MIHARAIH,,,,管理部,,,,,,50000,対象外,0,決算整理仕訳（費用）
